,Totals,Totals,Totals,Totals,Totals,Totals,Averages,Averages,Averages,Averages,Averages,Averages,Goal Ratio
,Dortmund Home Goals,Opp Away Goals,Dortmund Away Goals,Opp Home Goals,Total for,Total against,Dortmund Home Goals,Opp Away Goals,Dortmund Away Goals,Opp Home Goals,Total for,Total against,
SeasonTo,,,,,,,,,,,,,
1964.0,54.0,21.0,19.0,36.0,73.0,57.0,1.8,0.7,0.6333333333333333,1.2,2.433333333333333,1.9,1.280701754385965
1965.0,38.0,22.0,29.0,26.0,67.0,48.0,1.2666666666666666,0.7333333333333333,0.9666666666666667,0.8666666666666667,2.2333333333333334,1.6,1.3958333333333333
1966.0,47.0,12.0,23.0,24.0,70.0,36.0,1.3823529411764706,0.35294117647058826,0.6764705882352942,0.7058823529411765,2.0588235294117645,1.0588235294117647,1.9444444444444444
1967.0,45.0,14.0,25.0,27.0,70.0,41.0,1.3235294117647058,0.4117647058823529,0.7352941176470589,0.7941176470588235,2.0588235294117645,1.2058823529411764,1.7073170731707317
1968.0,44.0,17.0,16.0,42.0,60.0,59.0,1.2941176470588236,0.5,0.47058823529411764,1.2352941176470589,1.7647058823529411,1.7352941176470589,1.0169491525423728
1969.0,29.0,20.0,20.0,34.0,49.0,54.0,0.8529411764705882,0.5882352941176471,0.5882352941176471,1.0,1.4411764705882353,1.588235294117647,0.9074074074074074
1970.0,36.0,18.0,24.0,49.0,60.0,67.0,1.0588235294117647,0.5294117647058824,0.7058823529411765,1.4411764705882353,1.7647058823529411,1.9705882352941178,0.8955223880597015
1971.0,35.0,19.0,19.0,41.0,54.0,60.0,1.0294117647058822,0.5588235294117647,0.5588235294117647,1.2058823529411764,1.588235294117647,1.7647058823529411,0.9
1972.0,18.0,26.0,16.0,57.0,34.0,83.0,0.5294117647058824,0.7647058823529411,0.47058823529411764,1.6764705882352942,1.0,2.4411764705882355,0.40963855421686746
1977.0,41.0,30.0,32.0,34.0,73.0,64.0,1.2058823529411764,0.8823529411764706,0.9411764705882353,1.0,2.1470588235294117,1.8823529411764706,1.140625
1978.0,36.0,24.0,21.0,47.0,57.0,71.0,1.0588235294117647,0.7058823529411765,0.6176470588235294,1.3823529411764706,1.6764705882352942,2.088235294117647,0.8028169014084507
1979.0,33.0,16.0,21.0,54.0,54.0,70.0,0.9705882352941176,0.47058823529411764,0.6176470588235294,1.588235294117647,1.588235294117647,2.0588235294117645,0.7714285714285715
1980.0,43.0,21.0,21.0,35.0,64.0,56.0,1.2647058823529411,0.6176470588235294,0.6176470588235294,1.0294117647058822,1.8823529411764706,1.6470588235294117,1.1428571428571428
1981.0,47.0,30.0,22.0,29.0,69.0,59.0,1.3823529411764706,0.8823529411764706,0.6470588235294118,0.8529411764705882,2.0294117647058822,1.7352941176470589,1.1694915254237288
