b'Season',b'Player',b'Agea',b'Posb',b'Team',b'Gamesplayed',b'Field goalsmade',b'3-pointfield goalsmade',b'Free throwsmade',b'Totalpoints',b'Points pergame',b'Ref'

b'194647',b'Joe Fulks',b'25',b'F/C',b'Philadelphia Warriors',b'60',b'475',b'',b'439',"b'1,389'",b'232',b'1112'
b'194748',b'Max Zaslofskyc',b'22',b'G/F',b'Chicago Stags',b'48',b'373',b'',b'261',"b'1,007'",b'210',b'1415'
b'194849',b'George Mikan',b'24',b'C',b'Minneapolis Lakers',b'60',b'583',b'',b'532',"b'1,698'",b'283',b'1617'
b'194950',b'George Mikan (2)',b'25',b'C',b'Minneapolis Lakers',b'68',b'649',b'',b'567',"b'1,865'",b'274',b'1718'
b'195051',b'George Mikan (3)',b'26',b'C',b'Minneapolis Lakers',b'68',b'678',b'',b'576',"b'1,932'",b'284',b'1719'
b'195152',b'Paul Arizin',b'23',b'F/G',b'Philadelphia Warriors',b'66',b'548',b'',b'578',"b'1,674'",b'254',b'2021'
b'195253',b'Neil Johnston',b'23',b'C',b'Philadelphia Warriors',b'70',b'504',b'',b'556',"b'1,564'",b'223',b'2223'
b'195354',b'Neil Johnston (2)',b'24',b'C',b'Philadelphia Warriors',b'72',b'591',b'',b'577',"b'1,759'",b'245',b'2324'
b'195455',b'Neil Johnston (3)',b'25',b'C',b'Philadelphia Warriors',b'72',b'521',b'',b'589',"b'1,631'",b'227',b'2325'
b'195556',b'Bob Pettit',b'23',b'F/C',b'St Louis Hawks',b'72',b'646',b'',b'557',"b'1,849'",b'257',b'2627'
b'195657',b'Paul Arizin (2)',b'28',b'F/G',b'Philadelphia Warriors',b'71',b'613',b'',b'591',"b'1,817'",b'256',b'2128'
b'195758',b'George Yardley',b'29',b'F/G',b'Detroit Pistons',b'72',b'673',b'',b'655',"b'2,001'",b'278',b'2930'
b'195859',b'Bob Pettit (2)',b'26',b'F/C',b'St Louis Hawks',b'72',b'719',b'',b'667',"b'2,105'",b'292',b'2731'
